Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
Pollastrini di Anzio Anchovy Fillets in Olive Oil,11,Olive Oil,Anchovy,,Italy,Pollastrini,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,620,36,,,
Pollastrini di Anzio Millesimate (Vintage) 2020 Sardines in Olive Oil,11,Olive Oil,Sardines,Sardina pilchardus,Italy,Pollastrini,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,260,11,,,
Pollastrini di Anzio Millesimate (Vintage) 2020 Spiced Sardines in Olive Oil,11,Olive Oil,Sardines,Sardina pilchardus,Italy,Pollastrini,Yes,No,Spiced/Spicy,No,No,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,260,11,,,
Pollastrini di Anzio Sardines in Olive Oil 4/6,7,Olive OIl,Sardines,Sardina pilchardus,Italy,Pollastrini,Yes,No,None,No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,2,260,11,,,
Pollastrini di Anzio Sardines in Tomato Sauce with Hot Pepper 4/6,7,Olive OIl,Sardines,Sardina pilchardus,Italy,Pollastrini,Yes,No,Tomato,No,No,Unstated,100,3.5,No,No,No,No,Yes,Yes,No,No,No,None,2,240,10,,,
Pollastrini di Anzio Sardines with Tomato Sauce 4/6,7,Olive Oil,Sardines,Sardina pilchardus,Italy,Pollastrini,Yes,No,Tomato,No,No,Unstated,100,3.5,No,No,No,No,No,Yes,No,No,No,None,2,240,10,,,
Pollastrini di Anzio Spiced Sardines in Olive Oil 4/6,7.5,Olive Oil,Sardines,Sardina pilchardus,Italy,Pollastrini,Yes,No,Spiced/Spicy,No,No,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,260,11,,,
Pollastrini di Anzio Spicy Anchovy Fillets in Olive Oil,11.5,Olive Oil,Anchovy,,Italy,Pollastrini,Yes,No,Red Pepper,No,No,Unstated,100,3.5,No,No,No,No,Yes,No,No,No,No,None,2,620,36,,,
Porthos Sardines in Hot Tomato Sauce 3/5,7,Sunflower Oil,Sardines,?,Portugal,Porthos,Yes,No,Tomato,No,No,3/5,125,4.4,No,No,No,No,Yes,Yes,No,No,No,None,1,280,12,,,
Porthos Sardines in Hot Vegetable Oil 3/5,7,Sunflower Oil,Sardines,?,Portugal,Porthos,Yes,No,Spiced/Spicy,No,No,3/5,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,340,14,,,
Porthos Sardines in Olive Oil 3/5,7,Olive Oil,Sardines,?,Portugal,Porthos,Yes,No,None,No,No,3/5,125,4.4,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Porthos Sardines in Teriyaki Sauce 3/5,7,None,Sardines,?,Portugal,Porthos,Yes,Yes,Teriyaki,No,No,3/5,125,4.4,No,No,No,No,No,No,No,Yes,No,None,1,730,30,,,
Porthos Sardines in Tomato Sauce 3/5,7,Sunflower Oil,Sardines,?,Portugal,Porthos,Yes,No,Tomato,No,No,3/5,125,4.4,No,No,No,No,No,Yes,No,No,No,None,1,280,12,,,
Porthos Spiced Sardines in Olive Oil 3/5,7,Olive Oil,Sardines,?,Portugal,Porthos,Yes,No,"Spiced/Spicy, Chili Pepper, Cucumber, Carrot",No,No,Unstated,125,4.4,No,No,No,No,Yes,No,No,No,No,None,1,340,15,,,
Porto-Muiños Mussels with Sweet Kombu in Salsa Brava,16,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Porto-Muiños ,Yes,No,"Salsa Brava, Kombu",NA,NA,Unstated,120,4.2,No,No,No,No,Yes,Yes,No,No,No,None,1,920,40,,,
Porto-Muiños Piquillo Peppers with Sweet Kombu,14,"Extra Virgin Olive Oil, Sunflower Oil",None,,Spain,Porto-Muiños ,Yes,No,"Peppers, Kombu",NA,NA,Unstated,80,2.8,No,No,No,Yes,No,No,No,No,No,None,1,500,22,,,
Porto-Muiños Razor Clams with Sea Spaghetti and Garlic,22,Extra Virgin Olive Oil,"Clam, Razor",Ensis magnus,Spain,Porto-Muiños ,Yes,No,"Garlic, Sea Spaghetti",NA,NA,Unstated,90,3.2,No,No,No,Yes,No,No,No,No,No,None,1,330,14,,,
Portomar Cockles in Brine 50/60,14.5,Water,Cockles,?,Spain,Portomar,Yes,No,None,NA,NA,50-60,111,3.9,No,No,No,No,No,No,No,No,No,None,1,390,16,,,
Portomar Mussels in Escabeche 8/12,8,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Portomar,Yes,No,Escabeche,NA,NA,8/12,111,3.9,No,No,No,No,No,No,No,No,No,None,1,296,12,,,
Portomar Octopus in Olive Oil,12,Olive Oil,Octopus,?,Spain,Portomar,Yes,No,None,NA,NA,Unstated,111,3.9,No,No,No,No,No,No,No,No,No,None,1,440,18,,,
Portomar Razor Clams in Brine 4/6,19,Water,"Clam, Razor",?,Spain,Portomar,Yes,No,None,NA,NA,4/6,111,3.9,No,No,No,No,No,No,No,No,No,None,1,270,11,,,
Portomar Stuffed Baby Squid in American Sauce,10,Sunflower Oil,Squid,?,Spain,Portomar,Yes,No,Tomato,NA,NA,Unstated,115,4,No,No,No,No,No,Yes,No,No,No,None,1,360,15,,,
Premium Food L Armenia Trout in Water,8,Water,Trout,?,Armenia,Eco Food Armenia,Yes,No,None,NA,NA,Unstated,240,8.46,No,No,No,No,No,No,No,No,No,None,?,?,,,,
PYSCIS Conserves Blue Mussels with Garlic and Chili 12/16,25,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,PYSCIS,Yes,No,"Chili, Garlic",NA,NA,NA,110,,No,No,No,Yes,Yes,No,No,No,No,None,,,,,,
"PYSCIS Conserves Razor Clams in Olive Oil 6/8, 2021",36,Olive Oil,Razor Clam,Ensis ensis,Spain,PYSCIS,Yes,No,None,NA,NA,6/8,110,4,No,No,No,No,No,No,No,No,No,None,,,,,,
"PYSCIS Conserves Sardines Royale 10/15, 2018",25,Olive Oil,Sardines,Sardinas pilchardus,Spain,PYSCIS,Yes,No,None,No,No,10/15,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
PYSCIS Conserves Smoked Baltic Gold Sprats,24.5,Rapeseed Oil,Sprats,Sprattus sprattus,Spain,PYSCIS,Yes,No,Mustard,No,No,Unstated,160,,Yes,No,No,No,No,No,No,No,No,None,,,,,,
"PYSCIS Conserves Young Bullet Tuna Filets in Olive Oil, 2021",26,Olive Oil,Bullet Tuna,Auxis rochei,Spain,PYSCIS,Yes,No,None,NA,NA,NA,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
"Ramón Peña Boneless & Skinless Sardine Fillets in Olive Oil, Gold Line",24,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,None,Yes,Yes,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,8,,,
"Ramón Peña Bonito Del Norte (Albacore) in Olive Oil, Silver Line",10.75,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Ramón Peña,Yes,No,None,NA,NA,NA,115,4,No,No,No,No,No,No,No,No,No,None,2,530,22,,,
"Ramón Peña Clams in Brine 18/20, Gold Line",47.5,Water,"Clam, White",?,Spain,Ramón Peña,Yes,No,None,NA,NA,18/20,111,4,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
"Ramón Peña Cockles in Brine, 30/35 (Big), Gold Line",36,None,Cockles,,Spain,Ramón Peña,Yes,No,None,NA,NA,Unstated,113,4,No,No,No,No,No,No,No,No,No,None,2,280,12,,,
"Ramón Peña Fried Small Sardines Stewed in Sauce (Fritas Guisadas ""Xoubas""), Gold Line",11,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",No,No,Unstated,130,4.6,No,No,No,No,No,Yes,No,Yes,No,None,2,320,13,,,
"Ramón Peña Garfish in Olive Oil, Gold Line",16,Olive Oil,Garfish,?,Spain,Ramón Peña,Yes,No,None,No,No,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,7,,,
Ramón Peña Mackerel Fillets in Olive Oil,9.5,Olive Oil,Mackerel,Scomber scombrus,Spain,Ramón Peña,Yes,No,None,Yes,Yes,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,1,267,12,,,
"Ramón Peña Mackerel Fillets in Smoked Olive Oil, Silver Line",10,Olive Oil,Mackerel,Scomber scombrus,Spain,Ramón Peña,Yes,No,None,Yes,Yes,Unstated,115,4,Yes,No,No,No,No,No,No,No,No,None,1,180,8,,,
"Ramón Peña Mackerel Fillets with Lemon, Silver Line",10,Olive Oil,Mackerel,Scomber scombrus,Spain,Ramón Peña,Yes,No,Lemon,Yes,Yes,Unstated,115,4,No,No,Yes,No,No,No,No,No,No,None,1,221,9,,,
"Ramón Peña Mussels in Escabeche (Small) 16/20, Silver Line",9.5,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Ramón Peña,Yes,No,Escabeche,NA,NA,16/20,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
"Ramón Peña Mussels in Escabeche 8/12, Silver Line",11,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Ramón Peña,Yes,No,Escabeche,NA,NA,8/12,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13,,,
"Ramón Peña Mussels in Pickled Sauce 8/10, Gold Line",15.5,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Ramón Peña,Yes,No,Escabeche,NA,NA,8/10,138,4.9,No,No,No,No,No,No,No,?,No,None,?,?,?,,,
"Ramón Peña Octopus in Olive Oil, Gold Line",38,Olive Oil,Octopus,?,Spain,Ramón Peña,Yes,No,None,NA,NA,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,270,11,,,
"Ramón Peña Octopus in Paprika Sauce, Gold Line",38,Olive Oil,Octopus,?,Spain,Ramón Peña,Yes,No,Paprika,NA,NA,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,7,,,
"Ramón Peña Octopus in Paprika Sauce, Silver Line",27.5,Olive Oil,Octopus,?,Spain,Ramón Peña,Yes,No,Paprika,NA,NA,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,2,180,7,,,
"Ramón Peña Razorshells (Navajas) in Brine 4/6, Gold Line",25,Water,"Clam, Razor",Ensis arcuatus,Spain,Ramón Peña,Yes,No,None,NA,NA,4/6,115,4,No,No,No,No,No,No,No,No,No,None,2,115,5,,,
"Ramón Peña Razorshells (Navajas) in Brine 6/8, Silver Line",22.5,Water,"Clam, Razor",Ensis arcuatus,Spain,Ramón Peña,Yes,No,None,NA,NA,6/8,115,4,No,No,No,No,No,No,No,No,No,None,2,115,5,,,
"Ramón Peña Sardines in Olive Oil 25/30, Gold Line",14.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,None,No,No,25/30,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,8,,,
"Ramón Peña Sardines in Olive Oil 3/5, Silver Line",7.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,None,No,No,3/5,115,4,No,No,No,No,No,No,No,No,No,None,2,120,5,,,
"Ramón Peña Sardines in Olive Oil 30/35, Gold Line, Especial Aniversario",15,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,None,No,No,30/35,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,8,,,
"Ramón Peña Sardines in Sauce (Sardinas Guisadas) ""Xoubas"", Silver Line",10,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",No,No,Unstated,115,4,No,No,No,No,No,Yes,No,Yes,No,None,2,320,13,,,
"Ramón Peña Small Atlantic Horse Mackerel in Olive Oil, Gold Line",12.5,Olive Oil,Horse Mackerel,Trachurus trachurus,Spain,Ramón Peña,Yes,No,None,No,No,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,3,320,13,,,
"Ramón Peña Small Sardines in Olive Oil 40/50, Large Format",22,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,None,No,No,40/50,265,9.35,No,No,No,No,No,No,No,No,No,None,2,180,8,,,
"Ramón Peña Small Sardines in Olive Oil with Padrón Pepper, Gold Line",14,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,Padrón pepper,No,No,Unstated,130,4.6,No,No,No,No,Yes,No,No,No,No,None,2,260,11,,,
"Ramón Peña Small Sardines in Spicy Olive Oil 12/16, Silver Line",8,Olive Oil,Sardines,Sardina pilchardus,Spain,Ramón Peña,Yes,No,Spiced/Spicy,No,No,12/16,115,4.1,No,No,No,No,Yes,No,No,No,No,None,2,340,14,,,
"Ramón Peña Spicy Mussels with Garlic and Chilli Pepper 16/20, Silver Line",10,"Olive Oil,  Sunflower Oil",Mussels,Mytilus galloprovincialis,Spain,Ramón Peña,Yes,No,Spiced/Spicy,NA,NA,16/20,110,3.9,No,No,No,Yes,Yes,No,No,No,No,None,2,260,11,,,
"Ramón Peña Squids in Olive Oil, Gold Line",14.25,Olive Oil,Squid,Loligo gahi,Spain,Ramón Peña,Yes,No,None,NA,NA,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,160,7,,,
"Ramón Peña Stuffed Squid in Ink Sauce 6/8, Gold Line",14,Olive Oil,Squid,Loligo gahi,Spain,Ramón Peña,Yes,No,Ink,NA,NA,6/8,138,4.9,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
"Ramón Peña Yellowfin Tuna in Olive Oil, Silver Line",7.25,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Ramón Peña,Yes,No,None,NA,NA,NA,110,3.9,No,No,No,No,No,No,No,No,No,None,2,130,6,,,
"Ramón Peña Yellowfin Tuna Ventresca in Olive Oil, Silver Line",14.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Ramón Peña,Yes,No,None,NA,NA,NA,110,3.9,No,No,No,No,No,No,No,No,No,None,2,190,8,,,
"Ramón Peña Zamburiñas Guisadas (Small Scallops in Sauce), Gold Line",18.5,Olive Oil,Scallop,Aequipecten opercularis,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",NA,NA,Unstated,110,4,No,No,No,No,No,Yes,No,No,No,None,?,1100,?,Per 100g,,
"Ramón Peña Zamburiñas Guisadas (Small Scallops in Sauce), Silver Line",16.5,Olive Oil,Scallop,Aequipecten opercularis,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",NA,NA,Unstated,110,4,No,No,No,No,No,Yes,No,No,No,None,2,180,7,,,
Real Conservera Clams in Brine 12+,70,Water,Clams,Venerupis pullastra ,Spain,Real Conservera,Yes,No,"onion, lemon, salt and bay leaf",NA,NA,Unstated,85,,No,No,No,No,No,No,No,No,No,None,,,,,,
Real Conservera Cockles in Brine,55,Brine,Cockles,Cerastoderma edule,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,Unstated,85,3.82,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Garfish in Olive Oil,21,Olive Oil,Garfish,Scomberesox saurus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,112,3.95,No,No,No,No,No,No,No,No,No,None,,,,,,
Real Conservera Mussels in Escabeche 5/7,27,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Real Conservera,No,No,Escabeche,NA,NA,5/7,115,4.06,No,No,No,No,No,No,No,No,No,None,?,1100,?,Per 100g,,
"Real Conservera Mussels in Escabeche 7/9, Grandes",23,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Real Conservera,Yes,No,Escabeche,NA,NA,7/9,112,3.95,No,Fried,No,Yes,No,No,No,No,No,None,1,,,,,
Real Conservera Portuguese Style Cod,36,Olive Oil,Cod,?,Spain,Real Conservera,Yes,No,"potato, white wine, rice flour, pitted black olives, salt, parsley and white pepper",Yes,Yes,NA,,5.29,No,No,No,No,No,No,No,No,No,None,,,,,,
Real Conservera Sardines in Olive Oil 3/4,15,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,3/4,120,4.2,No,No,No,No,No,No,No,No,No,None,?,< 1g,?,Per 100g,,
Real Conservera Sardinillas in Olive Oil with Lemon 10/14,19,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,Lemon,No,No,10/14,112,4,No,No,Yes,No,No,No,No,No,No,None,?,1500,?,Per 100g,,
Real Conservera Sea Urchin Roes in Brine,116,Brine,Sea Urchin Roe,,Spain,Real Conservera,Yes,No,None,NA,NA,Unstated,85,2.99,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Atún Claro (Yellowfin tuna) in Olive Oil,10,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,None,Yes,Yes,Unstated,110,4,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Atún Claro (Yellowfin tuna) Ventresca Pieces in Olive Oil with Curry,16.5,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,"onion, curry sauce (mustard), spices",NA,NA,NA,115,4.06,No,No,No,No,No,No,No,No,No,None,,,,,,
Real Conservera Selección 1920 Clams in Brine,15.5,Brine,Clams,,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Cockles in Brine 30/40,27.5,Brine,Cockles,Cerastoderma edule,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,30/40,111,3.9,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Cockles in Brine 40/50,21.5,Brine,Cockles,Cerastoderma edule,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,40/50,111,3.9,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Mussels in Escabeche 12/16,13,Escabeche,Mussels,Mytillus galloprovincialis,Spain,Real Conservera,Yes,No,Escabeche,NA,NA,12/16,115,4.06,No,No,No,Yes,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Mussels in Escabeche 9/12,19,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Real Conservera,No,No,Escabeche,NA,NA,6/12,112,4,No,No,No,No,No,No,No,No,No,None,?,1100,?,per 100g,,
Real Conservera Selección 1920 Razor Clams in Brine,26,Brine,Razor Clam,Ensis arcuatus,Spain,Real Conservera,Yes,No,"lemon, bay leaf, onion",NA,NA,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,,,,,,
Real Conservera Selección 1920 Sardines in Olive Oil,8.75,Olive OIl,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Olive Oil,11,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,112,4,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Olive Oil 12/16,13.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,12/16,120,4.2,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Spicy Olive Oil,12.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,hot pepper,No,No,Unstated,112,3.95,No,No,No,No,Yes,No,No,No,No,None,,,,,,
Real Conservera Selección 1920 Ventresca de Atún Claro (Yellowfin Belly) in Olive Oil,15,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,None,Yes,Yes,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,None,1,,,,,
Real Conservera Small Sardines (Sardinillas) in Olive Oil (Limited Edition),28,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,18/22,112,3.95,No,No,No,No,No,No,No,No,No,None,?,1500,?,Per 100g,,
Real Conservera Small Sardines (Sardinillas) in Olive Oil 10/14,24,Olive OIl,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,10/14,112,3.95,No,No,No,No,No,No,No,No,No,None,?,1500,?,per 100g,,
Real Conservera Small Sardines (Sardinillas) in Spicy Olive Oil 10/14,24,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,Spiced/Spicy,No,No,10/14,112,3.95,No,No,No,No,Yes,No,No,No,No,None,?,1500,?,per 100g,,
Real Conservera Small Whole Mackerel (Caballitas) in Olive Oil,23,Olive Oil,Mackerel,Scomber scombrus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,?,< 1g,?,Per 100g,,
Real Conservera Spicy Hake Roe Medallions in Olive Oil,28,Olive Oil,Hake,Merluccius merluccius,Spain,Real Conservera,Yes,No,Spiced/Spicy,NA,NA,Unstated,130,4.6,No,No,No,No,Yes,No,No,No,No,None,?,< 1g,?,Per 100g,,
Real Conservera Spicy Hake Roe Pâté,25,Olive Oil,Hake Roe Pate,Merluccius merluccius,Spain,Real Conservera,Yes,No,Spicy Olive Oil,NA,NA,Unstated,140,4.93,No,No,No,Yes,Yes,No,No,No,No,None,1,,,,,
Real Conservera Stuffed Squid in Ink,51,Olive Oil,Squid,Loligo spp.,Spain,Real Conservera,Yes,No,"onion, pepper, tomato, wine (sulfites), salt, cephalopod ink, rice flour, paprika, and spicy paprika.",NA,NA,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,?,,,,,
Real Conservera Stuffed Squid in Olive Oil,45,Olive Oil,Squid,Loligo spp.,Spain,Real Conservera,Yes,No,None,NA,NA,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,?,< 1g,?,Per 100g,,
Real Conservera Variegated Scallop (Zamburiñas) in Natural Broth,58,Water,Scallop,?,Spain,Real Conservera,Yes,No,"Onion, Lemon, Bay",NA,NA,Unstated,130,4.6,No,No,Yes,No,No,No,No,No,No,None,?,< 1g,?,Per 100g,,
Real Conservera Ventresca of Yellowfin Tuna,20,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,None,NA,NA,Unstated,112,3.95,No,No,No,No,No,No,No,No,No,None,1,,,,,
Riga Gold Cod Liver,4.5,None,Cod,?,Latvia,Riga Gold,?,?,?,NA,NA,NA,120,4.2,No,No,No,No,No,No,No,No,No,None,?,?,?,,,
"Riga Gold Smoked Sprats in Oil 10/12, 160g",3.5,Rapeseed Oil,Sprats,?,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,160,5.64,Yes,No,No,No,No,No,No,No,No,OU,2,320,14,,,
"Riga Gold Smoked Sprats in Oil 9/11, 240g",4.5,Rapeseed Oil,Sprats,?,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,240,8.47,Yes,No,No,No,No,No,No,No,No,OU,3,320,14,,,
Rizzoli Anchovy Fillets in Extra Virgin Olive Oil,10.5,Extra Virgin Olive Oil,Anchovies,,Italy,Rizzoli,Yes,No,None,Yes,Yes,Unstated,90,3.17,No,No,No,No,No,No,No,No,No,None,3,852,37,,,
Rizzoli Anchovy Fillets in Spicy Sauce,9.5,Extra Virgin Olive Oil,Anchovies,,Italy,Rizzoli,Yes,Yes,"Mustard, spices, tuna, vinegar",Yes,Yes,Unstated,90,3.17,No,No,No,No,No,No,No,No,No,None,6,480,21,,,
Rizzoli Anchovy Paste,5,Olive Oil,Anchovies,,Italy,Rizzoli,Yes,No,None,Yes,Yes,NA,60,2.12,No,No,No,No,No,No,No,No,No,None,4,1040,45,,,
Rügen Fisch Herring Fillets in Dill-Herb Sauce,4,Canola Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Dill Cream,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,No,No,None,2,400,17,,,
Rügen Fisch Herring Fillets in Horseradish Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Horseradish,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,No,No,None,2,300,13,,,
Rügen Fisch Herring Fillets in Hot Tomato Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,No,Unstated,200,7.05,No,No,No,No,Yes,Yes,No,No,No,None,2,290,13,,,
Rügen Fisch Herring Fillets in Mushroom Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Mushroom,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,Yes,No,None,2,380,17,,,
Rügen Fisch Herring Fillets in Mustard Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Mustard,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,No,No,No,None,2,520,23,,,
Rügen Fisch Herring Fillets in Paprika Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,Yes,Yes,Yes,No,None,2,400,17,,,
Rügen Fisch Herring Fillets in Tomato Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,Yes,No,No,No,None,2,290,13,,,
Rügen Fisch Herring Fillets in White Wine Sauce,4,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,White Wine,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,No,Yes,Yes,No,None,2,400,17,,,
Rügen Fisch Kipper Snacks,4,Water,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,None,Yes,NA,NA,100,3.53,Yes,No,No,No,No,No,No,No,No,None,1,210,9,,,
Rügen Fisch Mackerel Fillets in Tomato Sauce,5,Rapeseed Oil,Mackerel,Scomber scombrus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200,7.05,No,No,No,No,No,Yes,No,No,No,None,2,220,10,,,
Rügen Fisch Salmon Fillets (Skinless and Boneless) in Water,6.5,Water,Salmon,Salmo salar,Germany,Rügen Fisch,Yes,No,None,Yes,Yes,Unstated,175,6.17,No,No,No,No,No,No,Possible Traces,Possible Traces,No,None,2,400,25,,,
Rügen Fisch Smoked Herring Fillets in Canola Oil and Own Juice,4.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,No,None,Yes,No,Unstated,190,6.7,Yes,No,No,No,No,No,No,No,No,None,2,170,7,,,
"Rügen Fisch Smoked Herring Fillets with Pepper, in Brine and Own Juice",4.5,Water,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Pepper,Yes,No,Unstated,200,7.05,Yes,No,No,No,No,No,No,No,No,None,2,180,8,,,
Rügen Fisch Smoked Kieler Sprats,4,Rapeseed Oil,Sprats,Sprattus sprattus,Germany,Rügen Fisch,Yes,No,None,No,No,Unstated,110,3.88,Yes,No,No,No,No,No,No,No,No,None,1,230,10,,,
